id,product_id,main_location_id,date,avg_price,ask,bid,created_at,main_location,updated_at
11,2,11,2021-07-08,87.0,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
26,2,11,2021-07-19,88.6,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
72,2,11,2021-06-25,74.1,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
126,2,11,2021-06-14,86.3,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
156,2,11,2021-05-31,89.11543337110885,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
177,2,11,2021-07-27,92.9,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
215,2,11,2021-06-28,74.1,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
279,2,11,2021-06-17,79.9,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
353,2,11,2021-07-23,91.8,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
375,2,11,2021-07-06,88.33333333333333,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
409,2,11,2021-06-10,88.33333333333333,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
413,2,11,2021-07-07,86.7,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
446,2,11,2021-06-24,75.9,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
451,2,11,2021-07-29,94.2,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
461,2,11,2021-06-16,81.4,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
484,2,11,2021-06-09,88.33333333333333,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
492,2,11,2021-06-29,75.1,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
493,2,11,2021-07-09,86.4,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
501,2,11,2021-06-30,78.5,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
528,2,11,2021-07-05,85.16666666666667,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
621,2,11,2021-07-22,91.8,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
687,2,11,2021-06-22,77.7,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
741,2,11,2021-06-18,78.0,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
743,2,11,2021-06-21,77.4,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
877,2,11,2021-07-20,89.2,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
892,2,11,2021-07-28,94.2,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
922,2,11,2021-07-16,89.6,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
977,2,11,2021-06-04,89.2,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1013,2,11,2021-07-21,91.3,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1062,2,11,2021-06-02,88.8,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1085,2,11,2021-07-01,79.1,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1120,2,11,2021-07-14,90.0,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
