,id,product_id,main_location_id,date,avg_price,ask,bid,created_at,main_location,updated_at
0,1,2,13,2021-06-01,98.2599996,100.93001392066954,96.29492549897502,2021-08-02 14:51:46,,2023-08-29 19:11:02
1,16,2,13,2021-06-28,86.79110884444445,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
2,110,2,13,2021-06-21,88.67802262222222,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
3,127,2,13,2021-06-16,92.50126646666666,97.65185924181594,85.07829278947452,2021-08-02 14:51:46,,2023-08-29 19:11:02
4,135,2,13,2021-06-29,86.98888988888889,92.10497157152184,84.39453732293263,2021-08-02 14:51:46,,2023-08-29 19:11:02
5,142,2,13,2021-07-29,102.08111244444444,103.13430792401412,100.90993614370872,2021-08-02 14:51:46,,2023-08-29 19:11:02
6,169,2,13,2021-07-12,96.50444197777776,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
7,244,2,13,2021-07-06,94.08666486666668,98.3924879239847,92.91211167153902,2021-08-02 14:51:46,,2023-08-29 19:11:02
8,271,2,13,2021-07-19,96.79204477777778,100.81924234734828,91.14864779451692,2021-08-02 14:51:46,,2023-08-29 19:11:02
9,278,2,13,2021-06-15,93.5942688,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
10,300,2,13,2021-06-25,86.3400014,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
11,350,2,13,2021-06-24,86.32000226666666,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
12,367,2,13,2021-06-02,97.96222262222224,104.538052012525,95.0552311613798,2021-08-02 14:51:46,,2023-08-29 19:11:02
13,425,2,13,2021-06-07,97.59333293333331,100.56170865582015,95.75756344640084,2021-08-02 14:51:46,,2023-08-29 19:11:02
14,558,2,13,2021-06-17,89.77520240000001,93.0826550911362,88.04704290043244,2021-08-02 14:51:46,,2023-08-29 19:11:02
15,619,2,13,2021-07-20,97.27535335555557,101.043190613037,95.8477934065108,2021-08-02 14:51:46,,2023-08-29 19:11:02
16,647,2,13,2021-07-23,99.45811124444444,99.69203041039694,98.14339851954438,2021-08-02 14:51:46,,2023-08-29 19:11:02
17,663,2,13,2021-07-15,96.4511125111111,99.3920615045767,95.08335916559588,2021-08-02 14:51:46,,2023-08-29 19:11:02
18,676,2,13,2021-07-14,95.98666893333332,97.64400866033267,87.92173831040833,2021-08-02 14:51:46,,2023-08-29 19:11:02
19,678,2,13,2021-07-21,97.53393553333336,101.40120340346516,93.74379301675444,2021-08-02 14:51:46,,2023-08-29 19:11:02
20,709,2,13,2021-07-30,101.5584431111111,104.94388374990318,100.30804111533864,2021-08-02 14:51:46,,2023-08-29 19:11:02
21,719,2,13,2021-07-01,88.4801992,91.96639381857258,86.25809628616437,2021-08-02 14:51:46,,2023-08-29 19:11:02
22,740,2,13,2021-06-14,94.51402115555555,102.3843531798859,87.40828071025298,2021-08-02 14:51:46,,2023-08-29 19:11:02
23,822,2,13,2021-07-02,90.39086913333334,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
24,823,2,13,2021-07-27,101.126002,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
25,830,2,13,2021-07-28,102.36777911111112,102.90949065111326,99.64691107822146,2021-08-02 14:51:46,,2023-08-29 19:11:02
26,947,2,13,2021-06-10,95.79395382222224,102.3501188918357,93.2657918697932,2021-08-02 14:51:46,,2023-08-29 19:11:02
27,1090,2,13,2021-07-07,95.80666606666666,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
28,1144,2,13,2021-06-18,89.32837591111111,93.17167691724588,81.66722520474531,2021-08-02 14:51:46,,2023-08-29 19:11:02
29,1147,2,13,2021-07-16,96.52444624444443,99.87175292793675,96.41035399867044,2021-08-02 14:51:46,,2023-08-29 19:11:02
30,1181,2,13,2021-07-09,96.6288892888889,97.26650194758032,93.20133212865773,2021-08-02 14:51:46,,2023-08-29 19:11:02
31,1199,2,13,2021-06-08,97.52666726666666,104.20158545023024,91.41185622656847,2021-08-02 14:51:46,,2023-08-29 19:11:02
32,1206,2,13,2021-06-23,87.27946473333334,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
33,1242,2,13,2021-06-04,98.0199992,103.73287164673066,94.95384170978772,2021-08-02 14:51:46,,2023-08-29 19:11:02
34,1267,2,13,2021-05-31,100.5828387306268,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
35,1313,2,13,2021-07-26,100.28055655555556,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
