id,product_id,main_location_id,date,avg_price,ask,bid,created_at,main_location,updated_at
93,1,19,2021-06-21,149.33866866666668,150.23421564417626,148.20843207841912,2021-08-02 14:51:46,,2023-08-29 19:11:02
124,1,19,2021-07-28,164.48932933333333,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
148,1,19,2021-06-11,164.090668,164.68816818841165,163.70552357338357,2021-08-02 14:51:46,,2023-08-29 19:11:02
168,1,19,2021-07-21,170.23900033333334,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
272,1,19,2021-07-19,168.17576323809524,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
369,1,19,2021-07-08,159.48347552380952,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
372,1,19,2021-06-22,146.89333066666669,147.06660740955382,146.72839623372352,2021-08-02 14:51:46,,2023-08-29 19:11:02
407,1,19,2021-07-26,163.78399666666667,164.08351108331937,163.331445798056,2021-08-02 14:51:46,,2023-08-29 19:11:02
470,1,19,2021-07-29,165.083669,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
477,1,19,2021-06-07,169.313334,170.044852139997,168.49222384826564,2021-08-02 14:51:46,,2023-08-29 19:11:02
508,1,19,2021-06-14,159.53800466666667,160.56920597847466,159.27614563256617,2021-08-02 14:51:46,,2023-08-29 19:11:02
525,1,19,2021-07-07,158.64633233333333,159.13747956130686,158.24169241430258,2021-08-02 14:51:46,,2023-08-29 19:11:02
591,1,19,2021-07-23,164.788666,165.97107553024222,164.10713444277525,2021-08-02 14:51:46,,2023-08-29 19:11:02
603,1,19,2021-07-13,162.76128471428572,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
651,1,19,2021-06-29,144.93332933333332,146.45642705243577,134.85486662037852,2021-08-02 14:51:46,,2023-08-29 19:11:02
667,1,19,2021-06-04,166.17533333333333,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
762,1,19,2021-07-02,160.649002,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
785,1,19,2021-07-27,164.013331,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
857,1,19,2021-06-28,143.8701888095238,144.13357171700565,143.1000581756373,2021-08-02 14:51:46,,2023-08-29 19:11:02
865,1,19,2021-07-06,154.45166533333335,156.2837275989436,153.5934636136734,2021-08-02 14:51:46,,2023-08-29 19:11:02
902,1,19,2021-03-29,159.0,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
967,1,19,2021-06-25,142.55633333333333,143.3560631746869,141.72057795055167,2021-08-02 14:51:46,,2023-08-29 19:11:02
992,1,19,2021-07-16,166.75757142857142,166.8883777066385,163.73476188778145,2021-08-02 14:51:46,,2023-08-29 19:11:02
993,1,19,2021-06-15,155.74500033333334,156.33110128202748,155.4107029469042,2021-08-02 14:51:46,,2023-08-29 19:11:02
996,1,19,2021-07-14,162.15233366666666,162.3659489171142,161.54106016101306,2021-08-02 14:51:46,,2023-08-29 19:11:02
1026,1,19,2021-06-17,146.67566433333334,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1034,1,19,2021-03-10,162.55,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1035,1,19,2021-07-20,168.759669,169.2502727544645,168.3376362288053,2021-08-02 14:51:46,,2023-08-29 19:11:02
1043,1,19,2021-07-15,163.94324966666667,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1045,1,19,2021-06-02,168.536667,168.73196677876814,168.31154150533547,2021-08-02 14:51:46,,2023-08-29 19:11:02
1083,1,19,2021-06-16,152.22233366666666,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
1207,1,19,2021-06-23,144.03600066666667,144.97637879808207,142.68872540155238,2021-08-02 14:51:46,,2023-08-29 19:11:02
1212,1,19,2021-07-09,160.44766733333333,,,2021-08-02 14:51:46,,2023-08-29 19:11:02
